pkid,name,dialplanwizardgenid,tkdistributealgorithm,tkqsig,islocalroutegroup,description
00000000-1111-0000-0000-000000000000,Standard Local Route Group,,2,4,t,System Local Route Group - This entry cannot be deleted
002605bc-833d-2162-9072-586643b9d88c,DI-SME-URI-Trunk-RG,,2,4,f,
a21d41e8-6c69-6cea-6588-7919376e2287,ATT-Canada-RG,,2,4,f,
3e67fad9-fbbf-5d63-33dc-c574ca3a8088,ATT-US-RG,,1,4,f,
bd23bd7b-57fe-8102-92ca-5c8f34419e27,DI-SME-Verizon-RG,,2,4,f,
26888555-8b22-4ce4-330a-d7b7823cb381,DI-Unity-Connection-RG,,2,4,f,
015507ef-853a-2a1d-adc2-ce91205ad367,FXLG-HNL-MGCP-rg    ,,1,4,f,
ab02e2b9-aadc-bee0-f37b-b90f930e03bb,FXF-SMN-rg          ,,2,4,f,
021d967e-4899-2e37-26f7-6c66c6609d12,FXF-LBB-rg          ,,2,4,f,
023b28ef-56b7-2aa3-cc4c-9cc6ace9cd3b,FXF-HUR-rg          ,,2,4,f,
033b566e-8702-8941-8bb6-5a48704caad4,FXF-MRO-rg          ,,2,4,f,
034c8cb0-0fce-2299-b280-ef81f8f8c114,FXFCMQ-E911-EGW_rg  ,,1,4,f,
04cce391-27c1-64ed-7ec0-a4ef17a710b4,FXF-BTR-rg          ,,2,4,f,
04d562a1-1001-969f-f5de-1f338b8783cd,FXF-CBR-rg          ,,1,0,f,
050e5b92-0371-870a-8e60-fe1151fce571,FXF-CPG-rg          ,,2,4,f,
05dd5165-b676-a680-e3b1-968897a13f73,FXF-WCV-rg          ,,2,4,f,
0e3b2d42-b07d-0aff-51b5-e4c6b392b0ab,FXE-FIELD-A-AVWA-rg,,1,0,f,
06bc710e-2175-f8ec-46ef-0a105439cab5,FXF-AKR-rg          ,,2,4,f,
07abf152-d839-1687-a158-2846469c8ebb,FXF-CHI-rg          ,,2,4,f,
08e075b5-8b84-8e74-e2ab-f01367f22810,FXF-FRO-rg          ,,2,4,f,
0a71e229-ca8d-353a-6b4f-9a8ee78fdfd6,FXF-LIN-rg          ,,2,4,f,
0a9c03bc-9960-602c-a28d-04e5a9bb621d,FXF-WOR-rg          ,,2,4,f,
0bb99a2d-43f6-e52c-815d-bb1543738c20,FXS-SME-ATT-S7-S8_rg,,2,0,f,
0d151496-fb17-1454-2efc-cbfdf820cec5,FXF-MIE-rg          ,,2,4,f,
0d8d240a-ff52-7abb-988c-c9e1d28a1df6,FXF-BOL-rg          ,,2,4,f,
0e8cf676-6f4d-6be6-6852-9a4c31de3a46,FXF-EAB-LocalGW-rg  ,,1,4,f,
0eb28705-e9b3-7ac3-f091-3026a6eefe79,FXF-WWV-rg          ,,2,4,f,
0fb73854-b0b8-43b2-d9d9-30eae4ce6a23,FXF-GJN-rg          ,,2,4,f,
0fbbaf5f-6873-797c-469c-4465ad40feb8,FXF-MON-rg          ,,1,4,f,
111e384f-0f54-9ab3-00a8-a43233f6c762,FXF-CDA-rg          ,,2,0,f,
125fc7d4-c671-5006-1210-44bc58550cd6,FXF-FMY-rg          ,,2,4,f,
1298bacd-a742-ee9d-eaf0-493f90d1dfc9,FXF-SAL-rg                  ,,2,4,f,
136b3b44-8896-cd6d-674c-688f832f8df9,FXF-CLX-rg                  ,,2,4,f,
14f56ddc-b393-3c53-64a8-50bf9ed7c76f,FXF-BKF-rg                  ,,2,4,f,
16c6f940-4411-5605-6a7d-b9352340bb9a,FXF-NPT-rg                  ,,2,0,f,
1799e418-0b4d-8e6c-83b8-4fa71b267128,FXCC Frieght Unity to ICM-rg,,2,0,f,
17fcb7a8-df98-e596-27a7-d10a2d86f648,FXF-ERI-rg                  ,,2,4,f,
18452aff-e760-a45a-a68c-839241ad60c9,FXF-LOW-rg                  ,,2,4,f,
18b3ecb9-a2e4-a091-610b-4fda5f07bbb7,FXF-WTL-rg                  ,,2,4,f,
